0., 1.
0.1, 1.0456
0.2, 1.08479
0.3, 1.11965
0.4, 1.15131
0.5, 1.18049
0.6, 1.20766
0.7, 1.23316
0.8, 1.25725
0.9, 1.28011
1.0, 1.3019
1.1, 1.32274
1.2, 1.34275
1.3, 1.362
1.4, 1.38056
1.5, 1.3985
1.6, 1.41587
1.7, 1.43272
1.8, 1.44907
1.9, 1.46498
2.0, 1.48047
2.1, 1.49557
2.2, 1.5103
2.3, 1.52468
2.4, 1.53874
2.5, 1.5525
2.6, 1.56597
2.7, 1.57916
2.8, 1.59209
2.9, 1.60478
3.0, 1.61723
3.1, 1.62946
3.2, 1.64148
3.3, 1.65329
3.4, 1.66491
3.5, 1.67633
3.6, 1.68758
3.7, 1.69866
3.8, 1.70957
3.9, 1.72032
4.0, 1.73092
